City_name,Months,Total_passengers,Repeat_passengers,Monthly_RPR_Percentage,City_RPR_Percentage
Chandigarh,1,4640,720,15.52,21.14
Chandigarh,2,4957,853,17.21,21.14
Chandigarh,3,4100,872,21.27,21.14
Chandigarh,4,3285,789,24.02,21.14
Chandigarh,5,3699,969,26.2,21.14
Chandigarh,6,3297,867,26.3,21.14
Coimbatore,1,2214,392,17.71,23.05
Coimbatore,2,1993,346,17.36,23.05
Coimbatore,3,1965,427,21.73,23.05
Coimbatore,4,1722,480,27.87,23.05
Coimbatore,5,1543,504,32.66,23.05
Coimbatore,6,1628,402,24.69,23.05
Indore,1,3876,1033,26.65,32.68
Indore,2,3981,1103,27.71,32.68
Indore,3,3833,1091,28.46,32.68
Indore,4,3646,1295,35.52,32.68
Indore,5,3591,1563,43.53,32.68
Indore,6,3152,1131,35.88,32.68
Jaipur,1,11845,1422,12.01,17.43
Jaipur,2,12450,1661,13.34,17.43
Jaipur,3,9257,1840,19.88,17.43
Jaipur,4,7856,1736,22.1,17.43
Jaipur,5,7174,1842,25.68,17.43
Jaipur,6,6956,1181,16.98,17.43
Kochi,1,5660,795,14.05,22.4
Kochi,2,5372,1005,18.71,22.4
Kochi,3,6213,1348,21.7,22.4
Kochi,4,6515,1576,24.19,22.4
Kochi,5,6222,1853,29.78,22.4
Kochi,6,4060,1049,25.84,22.4
Lucknow,1,4896,1431,29.23,37.12
Lucknow,2,5188,1659,31.98,37.12
Lucknow,3,4781,1622,33.93,37.12
Lucknow,4,3807,1496,39.3,37.12
Lucknow,5,3487,1662,47.66,37.12
Lucknow,6,3698,1727,46.7,37.12
Mysore,1,2129,172,8.08,11.23
Mysore,2,2290,183,7.99,11.23
Mysore,3,2194,208,9.48,11.23
Mysore,4,2072,236,11.39,11.23
Mysore,5,2270,349,15.37,11.23
Mysore,6,2203,329,14.93,11.23
Surat,1,3616,1184,32.74,42.63
Surat,2,3567,1313,36.81,42.63
Surat,3,3440,1494,43.43,42.63
Surat,4,3394,1551,45.7,42.63
Surat,5,3217,1606,49.92,42.63
Surat,6,3030,1490,49.17,42.63
Vadodara,1,2633,544,20.66,30.03
Vadodara,2,2756,610,22.13,30.03
Vadodara,3,2522,759,30.1,30.03
Vadodara,4,2499,862,34.49,30.03
Vadodara,5,2256,868,38.48,30.03
Vadodara,6,1807,703,38.9,30.03
Visakhapatnam,1,3163,650,20.55,28.61
Visakhapatnam,2,3170,790,24.92,28.61
Visakhapatnam,3,3093,923,29.84,28.61
Visakhapatnam,4,2837,992,34.97,28.61
Visakhapatnam,5,2890,951,32.91,28.61
Visakhapatnam,6,2702,802,29.68,28.61
